proxyWallet,side,asset,conditionId,size,price,timestamp,title,slug,icon,eventSlug,outcome,outcomeIndex,name,pseudonym,bio,profileImage,profileImageOptimized,transactionHash
0x2ee1e2e8236f60c95e0e4b41d6c88b2e02c1e2bb,SELL,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,228.98,0.999,1764096321,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,aeaeaaee,Austere-Nudge,,,,0x7b0ca4465267a3f5a4caa97bcdeda6d0a35d7b1250aa99e857d93cf778a04449
0x672360d71da7f7b1063009f022a728202ad0a540,SELL,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,10,0.999,1764091895,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,milgram-dos,Intelligent-Synthesis,,,,0x346b4aef1ca8948e061f4984cfc2c85c353df0081d9baddd1917637807914d16
0x53e5049f06669019de90c30c0d71aaf03208c9ae,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,5455,0.999,1764088653,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,WangMaZi-,Strange-Technique,,,,0x13a5c347dce8a0e3de7d90b194639afec0c866ff15c957134ffcca0b404ec7be
0xe3479950ef6e8984df109ec5c9be40630f9fb438,SELL,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,100,0.001,1764088605,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,RidelAMM,Motionless-Stalk,,,,0xfbd2b29648c349cee7e0ff2bc25cee91d2d26fe050e6ef62a3f77dfcdbe77895
0x53e5049f06669019de90c30c0d71aaf03208c9ae,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,8.4,0.998,1764088575,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,WangMaZi-,Strange-Technique,,,,0x020059847512c5bc909756bbd72257bc7446d5c828296f81ab59e9d44165249a
0x53e5049f06669019de90c30c0d71aaf03208c9ae,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,9938.26,0.9989987351910696,1764088563,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,WangMaZi-,Strange-Technique,,,,0x3f9b3a40809629b6258c5b4dc9169c0fa6b67a22718a4625db13cadfe2fd77b0
0x9bde76458da912bb3a061bc531df02d0814333d3,SELL,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,199.2,0.99,1764087603,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,tradergeorge,Fancy-Boysenberry,,,,0xf9aa6911060bda90b743ca23e8b51aa28730a8f038f87defda009c17770ecd28
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,SELL,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,300,0.001,1764087263,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0x831d62e20478c932cc9ae4441652e0f91acc492ccf1276a3c833687ea8f04911
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,BUY,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,300,0.007966666666666667,1764087103,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0xeaa7ed61acdb6f1fbf17fe1595bcc93240fd6c84d7f212226a273944cba6a21d
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,SELL,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,300,0.001,1764086167,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0x45f02b9e7059b15fa66711795c0a402b659fe0cc43cbce6b4ae42ab117ca4c4e
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,BUY,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,300,0.009,1764086137,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0xa20766b764d0b75d5ff513ea7affd84483bda8957dae1a66406ad5880c3842b1
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,SELL,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,200,0.001,1764085929,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0x77efb7a1ce6636e880b8c252765d910971fc02215d9eff163f7c8f2738d9e65f
0x8936214e1dab02e74e5469d76b4c55cfe99cd010,BUY,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,200,0.009,1764085883,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,daniel.sousa.me,Idealistic-Silo,,,,0xb86c1b55d33b9550beec9ed59ad2d1e48a4af8cd125bca8f93780fb1fb85ad19
0x00f743917880c6eb038324664be17e325a785301,BUY,4856761000975268361963098654055959023233254512488995287401630818611315346518,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,200,0.01,1764083071,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,No,1,GetLucky25,Questionable-Area,,,,0x9ca8bdf4e2e83572dd1d8904ba58daee23416a41f0d72f73a9b75d941eaa68dd
0x6df6e2a9ba1e8d7609daada0a83138817f4a8458,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,1850.77,0.99,1764083067,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,AvishaiBass,Witty-Yeast,,,,0x5c105fbf49c3ef8cd28a95ebb9130d659ad301dfb1ca434197ed7e24a9b2873c
0xcf955f683d685cd379e4df1c8c77b8f0343b12f2,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,181.8181,0.99,1764083065,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,Lkens,Specific-Rectangle,,,,0x011e3ece229599d7487038743a632361cebb270e2b3e75a572687f57d15d521e
0x90d0b8cb0734eac90cb0b454c7a1c1e7354237e3,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,677.8836,0.9824695036138947,1764083065,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,0x90d0B8cB0734eAC90CB0B454C7A1C1e7354237e3-1758842692599,Unacceptable-Dawn,,,,0xd67aaa7c00df1c4e331f5198e95ab88bc40b9522e5e11eff890261be268cc18a
0xe53a55c629c84ec2b08aad390bdbf5955d874034,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,10,0.97,1764083013,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,LDDK,Second-Hand-Breakpoint,,,,0x159e632fb116bfbd5f70a613d0ec2a162ac9bd8c36118ab1c13bfe7f25858c45
0xe53a55c629c84ec2b08aad390bdbf5955d874034,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,318.5,0.96,1764083007,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,LDDK,Second-Hand-Breakpoint,,,,0x4cfcd691482d84a7bf672dd3ea7fb6754a756372e5d3fc9e0e469b0e634ff88a
0x2b5298893783e19500a3208894824a59a750354e,BUY,63342023849691495461443504884652810849924360065906930479164410972135296951244,0xc781dcea691879c97099523224624de498c123a5a2938a8bb0f3cbe7686c9595,5.26314,0.95,1764081913,Will NVIDIA (NVDA) hit $170 before 2026??,will-nvda-hit-170-before-2026-739,https://polymarket-upload.s3.us-east-2.amazonaws.com/nvidia-log-a76bc5737f.png,what-will-nvda-hit-before-2026,Yes,0,taiwann01,Mediocre-Continent,,,,0x89811989ae14c3ce084f6e9bc4c8ac683e4549f28ab0fa683addfe49e2261ad0
